Date,spot,fx_return,rate_au,rate_us,infl_au,infl_us,actual_fx_change,uip_implied_change,ppp_implied_change,uip_deviation,ppp_deviation
2012-05-31,0.9704968333244324,-0.074568061103975,3.77,0.03,0.0017251298125469,-0.0011741684323558,-0.074568061103975,-0.003116666666666667,-0.0028992982449027,0.07145139443730833,0.0716687628590723
2012-06-30,1.0033713579177856,0.033312826941942,3.54,0.04,0.0017221588642124,-0.0014674730965928,0.033312826941942,-0.002916666666666667,-0.0031896319608052002,-0.036229493608608665,-0.0365024589027472
2012-07-31,1.0498688220977783,0.0452995373979303,3.5,0.07,0.0045303971237053,-0.0016311154075827,0.0452995373979303,-0.002858333333333334,-0.006161512531288,-0.04815787073126363,-0.0514610499292183
2012-08-31,1.0280978679656982,-0.0209548602266287,3.5,0.09,0.0045099651557478,0.005549729902718,-0.0209548602266287,-0.0028416666666666664,0.0010397647469701995,0.018113193559962035,0.0219946249735989
2012-09-30,1.0437650680541992,0.0151240687350517,3.5,0.06,0.0044897166559039,0.0044522861158942,0.0151240687350517,-0.0028666666666666667,-3.7430540009699906e-05,-0.017990735401718368,-0.0151614992750614
2012-10-31,1.0366023778915403,-0.0068860128334266,3.27,0.09,0.0008484163404842,-0.0003890007915519,-0.0068860128334266,-0.00265,-0.0012374171320361001,0.004236012833426599,0.0056485957013905
2012-11-30,1.0429377555847168,0.0060930752828966,3.25,0.11,0.0008476971403359,-0.0047493470099579,0.0060930752828966,-0.002616666666666667,-0.0055970441502938,-0.008709741949563267,-0.011690119433190399
2012-12-31,1.039198637008667,-0.0035916211914091,3.03,0.02,0.0008469791584815,-0.0026966973121291,-0.0035916211914091,-0.0025083333333333333,-0.0035436764706106,0.0010832878580757667,4.7944720798500165e-05
2013-01-31,1.0418837070465088,0.0025804567853334,3.0,0.04,0.0011281907838869,0.0029529399709851,0.0025804567853334,-0.002466666666666667,0.0018247491870981999,-0.005047123452000066,-0.0007557075982352001
2013-02-28,1.0232272148132324,-0.0180687629069127,3.0,0.07,0.0011269194036671,0.00815667323966,-0.0180687629069127,-0.002441666666666667,0.0070297538359929,0.01562709624024603,0.0250985167429056
2013-03-31,1.0418294668197632,0.0180167017811895,3.0,0.04,0.001125650885708,0.0026110967024415,0.0180167017811895,-0.002466666666666667,0.0014854458167335002,-0.020483368447856167,-0.016531255964456003
2013-04-30,1.0344042778015137,-0.0071525864495753,3.0,0.03,0.0012648445225034,-0.0010401802770649,-0.0071525864495753,-0.002475,-0.0023050247995682997,0.0046775864495753,0.004847561650007
2013-05-31,0.9669309854507446,-0.0674538398327566,2.8,0.03,0.0012632467116073,0.0017788247263679,-0.0674538398327566,-0.0023083333333333332,0.0005155780147606001,0.06514550649942327,0.0679694178475172
2013-06-30,0.9281604290008544,-0.0409225292319524,2.75,0.02,0.0012616529324764,0.0023968333841963,-0.0409225292319524,-0.002275,0.0011351804517199,0.0386475292319524,0.0420577096836723
2013-07-31,0.9072763323783876,-0.0227575238607628,2.75,0.03,0.0040545319438143,0.0003939199365854,-0.0227575238607628,-0.002266666666666667,-0.0036606120072289004,0.020490857194096133,0.019096911853533897
2013-08-31,0.8926180005073547,-0.0162883516946128,2.55,0.02,0.0040381590765043,0.0012022086145906,-0.0162883516946128,-0.002108333333333333,-0.0028359504619137,0.014180018361279467,0.0134524012326991
2013-09-30,0.930146098136902,0.0411829502120879,2.5,0.03,0.004021917910209,0.0011623287194426,0.0411829502120879,-0.0020583333333333335,-0.0028595891907664,-0.043241283545421234,-0.0440425394028543
2013-10-31,0.9470324516296388,0.0179916918432053,2.5,0.03,0.0023962040864988,-0.0025786050059224,0.0179916918432053,-0.0020583333333333335,-0.0049748090924212,-0.020050025176538634,-0.0229665009356265
2013-11-30,0.9084302186965942,-0.0416152848968721,2.5,0.05,0.0023904760153676,-0.0020445127831569,-0.0416152848968721,-0.002041666666666667,-0.0044349887985245,0.039573618230205436,0.0371802960983476
2013-12-31,0.8919811248779297,-0.0182731036210332,2.5,0.01,0.0023847752645869,-8.581517989991738e-05,-0.0182731036210332,-0.002075,-0.0024705904444868175,0.0161981036210332,0.015802513176546382
2014-01-31,0.8795848488807678,-0.0139949383836143,2.5,0.03,0.0019677388799745,0.0037133446671591,-0.0139949383836143,-0.0020583333333333335,0.0017456057871846,0.011936605050280966,0.0157405441707989
2014-02-28,0.8961697816848755,0.0186798499900808,2.5,0.04,0.001963874486548,0.0036910881958815,0.0186798499900808,-0.00205,0.0017272137093335004,-0.0207298499900808,-0.0169526362807473
2014-03-31,0.9260116219520568,0.0327569017597462,2.5,0.03,0.0019600252417486,0.0064193956460565,0.0327569017597462,-0.0020583333333333335,0.0044593704043078995,-0.03481523509307954,-0.0282975313554383
2014-04-30,0.9274716973304749,0.0015754937368385,2.5,0.02,0.001683463782256,0.0032913320724325,0.0015754937368385,-0.0020666666666666667,0.0016078682901765002,-0.003642160403505167,3.237455333800015e-05
2014-05-31,0.931098699569702,0.0039030072249005,2.5,0.05,0.0016806344942867,0.0034865248425326,0.0039030072249005,-0.002041666666666667,0.0018058903482459,-0.005944673891567167,-0.0020971168766546
2014-06-30,0.9417082667350768,0.0113302447671281,2.5,0.02,0.0016778147003639,0.0018603953350337,0.0113302447671281,-0.0020666666666666667,0.0001825806346697999,-0.013396911433794767,-0.011147664132458301
2014-07-31,0.9325748682022096,-0.0097460950890495,2.5,0.01,0.0014035725483534,-0.0003902701096336,-0.0097460950890495,-0.002075,-0.001793842657987,0.0076710950890495,0.0079522524310625
2014-08-31,0.9355412125587464,0.0031757628770151,2.5,0.02,0.0014016052933172,-0.0016719110304528,0.0031757628770151,-0.0020666666666666667,-0.00307351632377,-0.005242429543681766,-0.0062492792007851
2014-09-30,0.8716875910758972,-0.0706941061872305,2.5,0.02,0.001399643545195,0.0007522857863877,-0.0706941061872305,-0.0020666666666666667,-0.0006473577588073,0.06862743952056384,0.0700467484284232
2014-10-31,0.8824567198753357,0.0122786523694545,2.5,0.01,0.0006314555259212,-0.002515438877884,0.0122786523694545,-0.002075,-0.0031468944038052,-0.0143536523694545,-0.0154255467732597
2014-11-30,0.8524422645568848,-0.0346042629663612,2.5,0.04,0.0006310570414518,-0.0054140474825477,-0.0346042629663612,-0.00205,-0.0060451045239995,0.0325542629663612,0.028559158442361704
2014-12-31,0.818397581577301,-0.0407572224331791,2.5,0.03,0.0006306590595981,-0.005686236956425,-0.0407572224331791,-0.0020583333333333335,-0.0063168960160231,0.038698889099845764,0.034440326417156
2015-01-31,0.7782101631164551,-0.0503516393315046,2.5,0.01,0.0006302615794098,-0.0047169999460496,-0.0503516393315046,-0.002075,-0.0053472615254594,0.0482766393315046,0.0450043778060452
2015-02-28,0.780579149723053,0.0030395235724909,2.28,0.02,0.0006298645999391,0.0043336411217591,0.0030395235724909,-0.0018833333333333332,0.00370377652182,-0.004922856905824233,0.0006642529493291003
2015-03-31,0.7658140659332275,-0.0190967373047384,2.25,0.05,0.0006294681202403,0.0059340800797436,-0.0190967373047384,-0.0018333333333333335,0.0053046119595033005,0.017263403971405068,0.0244013492642417
2015-04-30,0.7994883060455322,0.0430324990749897,2.25,0.0,0.0023794035783177,0.0020308097638235,0.0430324990749897,-0.001875,-0.0003485938144942003,-0.0449074990749897,-0.0433810928894839
2015-05-31,0.7658140659332275,-0.0430324990749897,2.04,0.01,0.0023737554534388,0.0050842851152994,-0.0430324990749897,-0.0016916666666666668,0.0027105296618606003,0.04134083240832303,0.045743028736850294
2015-06-30,0.767283022403717,0.0019163260190142,2.0,0.02,0.0023681340796191,0.0034967492387343,0.0019163260190142,-0.0016499999999999998,0.0011286151591152,-0.0035663260190142,-0.0007877108598989999
2015-07-31,0.7294477820396423,-0.0505679476057992,2.0,0.04,0.0012934016030516,6.704491173525895e-05,-0.0505679476057992,-0.0016333333333333332,-0.001226356691316341,0.048934614272465864,0.049341590914482855
2015-08-31,0.7140816450119019,-0.0212904803621357,2.0,0.0,0.0012917308760327,-0.0014172801500214,-0.0212904803621357,-0.0016666666666666668,-0.0027090110260540997,0.019623813695469033,0.0185814693360816
2015-09-30,0.7003781795501709,-0.0193768589007814,2.0,0.0,0.001290064459706,-0.0015579695798857,-0.0193768589007814,-0.0016666666666666668,-0.0028480340395917,0.017710192234114734,0.0165288248611897
2015-10-31,0.7090187072753906,0.012261465964177,2.0,0.01,0.001288402337412,-0.0004497848885058,0.012261465964177,-0.0016583333333333335,-0.0017381872259178,-0.013919799297510332,-0.0139996531900948
2015-11-30,0.7183908224105835,0.0131318302436166,2.0,0.11,0.0012867444925701,-0.0021129110042235,0.0131318302436166,-0.001575,-0.0033996554967936,-0.0147068302436166,-0.0165314857404102
2015-12-31,0.7284913063049316,0.0139619500059986,2.0,0.14,0.0012850909086932,-0.0034229480452907,0.0139619500059986,-0.00155,-0.0047080389539839,-0.0155119500059986,-0.0186699889599825
2016-01-31,0.7086167335510254,-0.0276608847724876,2.0,0.22,-0.0006644960042505,0.0016517373395839,-0.0276608847724876,-0.0014833333333333332,0.0023162333438344,0.026177551439154265,0.029977118116321998
2016-02-29,0.7128092050552368,0.0058989829125865,2.0,0.23,-0.0006649378528127,0.000822737991716,0.0058989829125865,-0.001475,0.0014876758445287,-0.0073739829125865,-0.0044113070680578004
2016-03-31,0.7661073803901672,0.072108553181276,2.0,0.18,-0.0006653802893703,0.004296755852553,0.072108553181276,-0.0015166666666666668,0.0049621361419233,-0.07362521984794267,-0.0671464170393527
2016-04-30,0.7634170055389404,-0.0035179270766877,2.0,0.16,0.0014632526721225,0.004729864513286,-0.0035179270766877,-0.0015333333333333334,0.0032666118411635,0.0019845937433543666,0.0067845389178512
2016-05-31,0.7195797562599182,-0.0591370463699807,1.77,0.27,0.0014611146917653,0.0040376287933581,-0.0591370463699807,-0.00125,0.0025765141015928004,0.057887046369980696,0.061713560471573496
2016-06-30,0.7469933032989502,0.0373888505525785,1.75,0.2,0.0014589829499627,0.0032789844172604,0.0373888505525785,-0.0012916666666666667,0.0018200014672976998,-0.03868051721924516,-0.035568849085280796
2016-07-31,0.751258373260498,0.0056934112596247,1.75,0.19,0.0023387694617946,-0.0016194470014685,0.0056934112596247,-0.0013000000000000002,-0.0039582164632631,-0.0069934112596247,-0.009651627722887801
2016-08-31,0.7524454593658447,0.0015788831898869,1.52,0.26,0.0023333123795756,0.0009180086090108,0.0015788831898869,-0.00105,-0.0014153037705647998,-0.0026288831898869,-0.0029941869604516998
2016-09-30,0.7628347277641296,0.0137128846382708,1.5,0.2,0.002327880704251,0.0024011108892914,0.0137128846382708,-0.0010833333333333335,7.323018504040019e-05,-0.014796217971604134,-0.0136396544532304
2016-10-31,0.7598206996917725,-0.0039589153981695,1.5,0.2,0.0017533098205921,0.0012459719674575,-0.0039589153981695,-0.0010833333333333335,-0.0005073378531345999,0.0028755820648361666,0.0034515775450349004
2016-11-30,0.7484470009803772,-0.0150820896090305,1.5,0.38,0.0017502411048893,-0.001556671852513,-0.0150820896090305,-0.0009333333333333334,-0.0033069129574023,0.014148756275697167,0.0117751766516282
2016-12-31,0.7234842777252197,-0.0339215794005286,1.5,0.44,0.0017471831124096,0.0003272678343577,-0.0339215794005286,-0.0008833333333333333,-0.0014199152780519,0.033038246067195264,0.032501664122476695
2017-01-31,0.7565441131591797,0.0446820287229469,1.5,0.5,0.0015262851010398,0.0058108123716156,0.0446820287229469,-0.0008333333333333334,0.004284527270575799,-0.045515362056280234,-0.0403975014523711
2017-02-28,0.7676364183425903,0.0145553637339221,1.5,0.4,0.0015239591045137,0.0031411787148281,0.0145553637339221,-0.0009166666666666668,0.0016172196103144,-0.015472030400588766,-0.0129381441236077
2017-03-31,0.7655209302902222,-0.0027596507257737,1.5,0.74,0.0015216401866497,0.0008124677306371,-0.0027596507257737,-0.0006333333333333333,-0.0007091724560126,0.0021263173924403666,0.0020504782697611003
2017-04-30,0.746720016002655,-0.0248662530777719,1.5,0.68,0.0006514233830774,0.002961144845317,-0.0248662530777719,-0.0006833333333333332,0.0023097214622396,0.024182919744438567,0.027175974540011503
2017-05-31,0.7459346652030945,-0.0010522874204165,1.5,0.86,0.0006509993068926,0.0008543567602012,-0.0010522874204165,-0.0005333333333333334,0.0002033574533086,0.0005189540870831667,0.0012556448737251
2017-06-30,0.7685213685035706,0.0298303518502385,1.5,0.84,0.000650575782493,0.0009066998383007,0.0298303518502385,-0.00055,0.0002561240558077,-0.030380351850238498,-0.0295742277944308
2017-07-31,0.7985944747924805,0.0383849079262843,1.5,1.0,0.0020357343251324,-0.0006901607449991,0.0383849079262843,-0.0004166666666666667,-0.0027258950701315003,-0.03880157459295097,-0.0411108029964158
2017-08-31,0.7907013297080994,-0.0099329652280318,1.5,0.95,0.0020315985288474,0.0029899778549395,-0.0099329652280318,-0.0004583333333333334,0.0009583793260921,0.009474631894698467,0.0108913445541239
2017-09-30,0.7846275568008423,-0.0077111554999837,1.5,0.96,0.0020274795030577,0.0052809371660558,-0.0077111554999837,-0.00045000000000000004,0.0032534576629980995,0.0072611554999837,0.0109646131629818
2017-10-31,0.7697636485099792,-0.0191256375182924,1.5,0.99,0.0022383892949804,-0.0006322419265405,-0.0191256375182924,-0.00042500000000000003,-0.0028706312215209,0.0187006375182924,0.0162550062967715
2017-11-30,0.7566586136817932,-0.0171713387024818,1.5,1.14,0.0022333900964133,2.432439006749831e-05,-0.0171713387024818,-0.0003000000000000001,-0.002209065706345802,0.016871338702481798,0.014962272996135999
2017-12-31,0.7794293165206909,0.0296498273747439,1.5,1.28,0.0022284131784262,-0.0005880051183932,0.0296498273747439,-0.0001833333333333333,-0.0028164182968194,-0.029833160708077233,-0.032466245671563296
2018-01-31,0.8101101517677307,0.0386082218432473,1.5,1.43,0.0014543590552209,0.0054329601608804,0.0386082218432473,-5.833333333333339e-05,0.0039786011056595,-0.03866655517658064,-0.0346296207375878
2018-02-28,0.7793624997138977,-0.038693950811206,1.5,1.5,0.0014522469663234,0.0045244392458512,-0.038693950811206,0.0,0.0030721922795278007,0.038693950811206,0.0417661430907338
2018-03-31,0.768580436706543,-0.0139310527924764,1.5,1.63,0.0014501410030813,0.0022585734059274,-0.0139310527924764,0.00010833333333333323,0.0008084324028461,0.014039386125809733,0.0147394851953225
2018-04-30,0.7575184106826782,-0.0144973830339646,1.5,1.65,0.0011926567840436,0.0039672117619327,-0.0144973830339646,0.00012499999999999992,0.0027745549778891,0.0146223830339646,0.0172719380118537
2018-05-31,0.7571169137954712,-0.0005301565203482,1.5,1.76,0.0011912360481218,0.0041502925342538,-0.0005301565203482,0.00021666666666666666,0.002959056486132,0.0007468231870148667,0.0034892130064801997
2018-06-30,0.7346459031105042,-0.0301290664478722,1.5,1.77,0.0011898186930361,0.0015926068297709,-0.0301290664478722,0.00022500000000000002,0.0004027881367348002,0.0303540664478722,0.030531854584607002
2018-07-31,0.7407297492027283,0.0082472291938476,1.5,1.94,0.0014428792182448,6.746098674170753e-05,0.0082472291938476,0.0003666666666666666,-0.0013754182315030925,-0.007880562527180933,-0.009622647425350692
2018-08-31,0.7261636853218079,-0.0198603965575339,1.5,1.95,0.0014408003170496,0.000555388071846,-0.0198603965575339,0.00037499999999999995,-0.0008854122452036,0.0202353965575339,0.0189749843123303
2018-09-30,0.7205129861831665,-0.0078120121617589,1.5,2.12,0.0014387273978,0.0011613505472087,-0.0078120121617589,0.0005166666666666667,-0.00027737685059130005,0.008328678828425567,0.0075346353111676
2018-10-31,0.7099247574806213,-0.0148044500859291,1.5,2.2,0.0017321874248139,0.0017652045650287,-0.0148044500859291,0.0005833333333333335,3.301714021480004e-05,0.015387783419262432,0.014837467226143899
