Date,cpi_au,cpi_us,infl_au,infl_us,infl_diff
2014-08-31,73.77666666666666,237.852,0.0014016052933172318,-0.0016719110304528328,0.0030735163237700647
2014-09-30,73.88,238.031,0.0013996435451950617,0.0007522857863877519,0.0006473577588073098
2014-10-31,73.92666666666666,237.433,0.000631455525921254,-0.0025154388778840797,0.0031468944038053337
2014-11-30,73.97333333333333,236.151,0.0006310570414518324,-0.005414047482547701,0.006045104523999534
2014-12-31,74.02,234.812,0.0006306590595981376,-0.005686236956425006,0.0063168960160231435
2015-01-31,74.06666666666666,233.707,0.0006302615794098188,-0.0047169999460496825,0.005347261525459501
2015-02-28,74.11333333333333,234.722,0.0006298645999391894,0.0043336411217591575,-0.003703776521819968
2015-03-31,74.16,236.119,0.0006294681202403396,0.005934080079743609,-0.005304611959503269
2015-04-30,74.33666666666666,236.599,0.0023794035783177847,0.0020308097638235267,0.00034859381449425797
2015-05-31,74.51333333333334,237.805,0.002373755453438875,0.005084285115299458,-0.0027105296618605834
2015-06-30,74.69,238.638,0.002368134079619111,0.0034967492387343313,-0.0011286151591152205
2015-07-31,74.78666666666666,238.654,0.0012934016030516915,6.704491173525895e-05,0.0012263566913164325
2015-08-31,74.88333333333334,238.316,0.0012917308760327373,-0.001417280150021405,0.0027090110260541422
2015-09-30,74.98,237.945,0.0012900644597060307,-0.001557969579885743,0.0028480340395917736
2015-10-31,75.07666666666667,237.838,0.001288402337412009,-0.0004497848885058886,0.0017381872259178976
2015-11-30,75.17333333333333,237.336,0.0012867444925701577,-0.0021129110042235055,0.003399655496793663
2015-12-31,75.27,236.525,0.0012850909086932205,-0.0034229480452907524,0.004708038953983973
2016-01-31,75.22,236.916,-0.0006644960042505588,0.001651737339583903,-0.0023162333438344618
2016-02-29,75.17,237.111,-0.0006649378528127414,0.0008227379917160604,-0.0014876758445288019
2016-03-31,75.12,238.132,-0.0006653802893703542,0.004296755852553069,-0.004962136141923423
2016-04-30,75.23,239.261,0.0014632526721225503,0.004729864513286053,-0.0032666118411635026
2016-05-31,75.34,240.229,0.0014611146917653528,0.004037628793358117,-0.002576514101592764
2016-06-30,75.45,241.018,0.0014589829499627172,0.0032789844172604887,-0.0018200014672977716
2016-07-31,75.62666666666667,240.628,0.0023387694617946764,-0.0016194470014685436,0.00395821646326322
2016-08-31,75.80333333333334,240.849,0.0023333123795756805,0.0009180086090108119,0.0014153037705648686
2016-09-30,75.98,241.428,0.0023278807042510508,0.0024011108892914024,-7.323018504035161e-05
2016-10-31,76.11333333333333,241.729,0.001753309820592186,0.0012459719674575709,0.0005073378531346151
2016-11-30,76.24666666666667,241.353,0.0017502411048893052,-0.0015566718525130696,0.003306912957402375
2016-12-31,76.38,241.432,0.0017471831124096227,0.0003272678343577695,0.0014199152780518531
2017-01-31,76.49666666666667,242.839,0.0015262851010398037,0.005810812371615626,-0.004284527270575822
2017-02-28,76.61333333333333,243.603,0.0015239591045137502,0.003141178714828108,-0.0016172196103143577
2017-03-31,76.73,243.801,0.0015216401866497975,0.0008124677306371453,0.0007091724560126522
2017-04-30,76.78,244.524,0.000651423383077443,0.0029611448453170652,-0.0023097214622396223
2017-05-31,76.83,244.733,0.0006509993068926079,0.0008543567602012914,-0.0002033574533086835
2017-06-30,76.88,244.955,0.0006505757824930569,0.0009066998383007174,-0.0002561240558076605
2017-07-31,77.03666666666666,244.786,0.0020357343251324878,-0.0006901607449991687,0.0027258950701316564
2017-08-31,77.19333333333333,245.519,0.002031598528847489,0.002989977854939596,-0.000958379326092107
2017-09-30,77.35,246.819,0.0020274795030577053,0.005280937166055821,-0.003253457662998116
2017-10-31,77.52333333333333,246.663,0.0022383892949804363,-0.0006322419265405443,0.0028706312215209806
2017-11-30,77.69666666666667,246.669,0.0022333900964133235,2.4324390067498314e-05,0.0022090657063458252
2017-12-31,77.87,246.524,0.0022284131784262584,-0.0005880051183932977,0.002816418296819556
2018-01-31,77.98333333333333,247.867,0.001454359055220955,0.005432960160880462,-0.003978601105659507
2018-02-28,78.09666666666666,248.991,0.0014522469663234006,0.0045244392458512195,-0.003072192279527819
